name,type,path
BSV::Auth::Transport.on_data,Method,BSV/Auth/Transport.md#method-i-on_data
BSV::Auth::Transport.send,Method,BSV/Auth/Transport.md#method-i-send
BSV::Primitives::BSM,Module,BSV/Primitives/BSM.md
BSV::Primitives::BSM.MAGIC_PREFIX,Constant,BSV/Primitives/BSM.md#constant-MAGIC_PREFIX
BSV::Primitives::BSM.magic_hash,Method,BSV/Primitives/BSM.md#method-c-magic_hash
BSV::Primitives::BSM.sign,Method,BSV/Primitives/BSM.md#method-c-sign
BSV::Primitives::BSM.verify,Method,BSV/Primitives/BSM.md#method-c-verify
BSV::Primitives::Hex,Module,BSV/Primitives/Hex.md
BSV::Primitives::Hex.HEX_RE,Constant,BSV/Primitives/Hex.md#constant-HEX_RE
BSV::Primitives::Hex.decode,Method,BSV/Primitives/Hex.md#method-c-decode
BSV::Primitives::Hex.encode,Method,BSV/Primitives/Hex.md#method-c-encode
BSV::Primitives::Hex.valid?,Method,BSV/Primitives/Hex.md#method-c-valid-3F
BSV::Primitives::Hex.validate!,Method,BSV/Primitives/Hex.md#method-c-validate-21
BSV::Primitives::Hex.validate_dtxid_hex!,Method,BSV/Primitives/Hex.md#method-c-validate_dtxid_hex-21
BSV::Primitives::Hex.validate_hash32!,Method,BSV/Primitives/Hex.md#method-c-validate_hash32-21
BSV::Primitives::Hex.validate_wtxid!,Method,BSV/Primitives/Hex.md#method-c-validate_wtxid-21
BSV::Registry::DefinitionType,Module,BSV/Registry/DefinitionType.md
BSV::Registry::DefinitionType.BASKET,Constant,BSV/Registry/DefinitionType.md#constant-BASKET
BSV::Registry::DefinitionType.PROTOCOL,Constant,BSV/Registry/DefinitionType.md#constant-PROTOCOL
BSV::Registry::DefinitionType.CERTIFICATE,Constant,BSV/Registry/DefinitionType.md#constant-CERTIFICATE
BSV::Registry::DefinitionType.ALL,Constant,BSV/Registry/DefinitionType.md#constant-ALL
BSV::Script::Opcodes,Module,BSV/Script/Opcodes.md
BSV::Script::Opcodes.OP_0,Constant,BSV/Script/Opcodes.md#constant-OP_0
BSV::Script::Opcodes.OP_FALSE,Constant,BSV/Script/Opcodes.md#constant-OP_FALSE
BSV::Script::Opcodes.OP_PUSHDATA1,Constant,BSV/Script/Opcodes.md#constant-OP_PUSHDATA1
BSV::Script::Opcodes.OP_PUSHDATA2,Constant,BSV/Script/Opcodes.md#constant-OP_PUSHDATA2
BSV::Script::Opcodes.OP_PUSHDATA4,Constant,BSV/Script/Opcodes.md#constant-OP_PUSHDATA4
BSV::Script::Opcodes.OP_1NEGATE,Constant,BSV/Script/Opcodes.md#constant-OP_1NEGATE
BSV::Script::Opcodes.OP_RESERVED,Constant,BSV/Script/Opcodes.md#constant-OP_RESERVED
BSV::Script::Opcodes.OP_1,Constant,BSV/Script/Opcodes.md#constant-OP_1
BSV::Script::Opcodes.OP_TRUE,Constant,BSV/Script/Opcodes.md#constant-OP_TRUE
BSV::Script::Opcodes.OP_2,Constant,BSV/Script/Opcodes.md#constant-OP_2
BSV::Script::Opcodes.OP_3,Constant,BSV/Script/Opcodes.md#constant-OP_3
BSV::Script::Opcodes.OP_4,Constant,BSV/Script/Opcodes.md#constant-OP_4
BSV::Script::Opcodes.OP_5,Constant,BSV/Script/Opcodes.md#constant-OP_5
BSV::Script::Opcodes.OP_6,Constant,BSV/Script/Opcodes.md#constant-OP_6
BSV::Script::Opcodes.OP_7,Constant,BSV/Script/Opcodes.md#constant-OP_7
BSV::Script::Opcodes.OP_8,Constant,BSV/Script/Opcodes.md#constant-OP_8
BSV::Script::Opcodes.OP_9,Constant,BSV/Script/Opcodes.md#constant-OP_9
BSV::Script::Opcodes.OP_10,Constant,BSV/Script/Opcodes.md#constant-OP_10
BSV::Script::Opcodes.OP_11,Constant,BSV/Script/Opcodes.md#constant-OP_11
BSV::Script::Opcodes.OP_12,Constant,BSV/Script/Opcodes.md#constant-OP_12
BSV::Script::Opcodes.OP_13,Constant,BSV/Script/Opcodes.md#constant-OP_13
BSV::Script::Opcodes.OP_14,Constant,BSV/Script/Opcodes.md#constant-OP_14
BSV::Script::Opcodes.OP_15,Constant,BSV/Script/Opcodes.md#constant-OP_15
BSV::Script::Opcodes.OP_16,Constant,BSV/Script/Opcodes.md#constant-OP_16
BSV::Script::Opcodes.OP_NOP,Constant,BSV/Script/Opcodes.md#constant-OP_NOP
BSV::Script::Opcodes.OP_VER,Constant,BSV/Script/Opcodes.md#constant-OP_VER
BSV::Script::Opcodes.OP_IF,Constant,BSV/Script/Opcodes.md#constant-OP_IF
BSV::Script::Opcodes.OP_NOTIF,Constant,BSV/Script/Opcodes.md#constant-OP_NOTIF
BSV::Script::Opcodes.OP_VERIF,Constant,BSV/Script/Opcodes.md#constant-OP_VERIF
BSV::Script::Opcodes.OP_VERNOTIF,Constant,BSV/Script/Opcodes.md#constant-OP_VERNOTIF
BSV::Script::Opcodes.OP_ELSE,Constant,BSV/Script/Opcodes.md#constant-OP_ELSE
BSV::Script::Opcodes.OP_ENDIF,Constant,BSV/Script/Opcodes.md#constant-OP_ENDIF
BSV::Script::Opcodes.OP_VERIFY,Constant,BSV/Script/Opcodes.md#constant-OP_VERIFY
BSV::Script::Opcodes.OP_RETURN,Constant,BSV/Script/Opcodes.md#constant-OP_RETURN
BSV::Script::Opcodes.OP_TOALTSTACK,Constant,BSV/Script/Opcodes.md#constant-OP_TOALTSTACK
BSV::Script::Opcodes.OP_FROMALTSTACK,Constant,BSV/Script/Opcodes.md#constant-OP_FROMALTSTACK
BSV::Script::Opcodes.OP_2DROP,Constant,BSV/Script/Opcodes.md#constant-OP_2DROP
BSV::Script::Opcodes.OP_2DUP,Constant,BSV/Script/Opcodes.md#constant-OP_2DUP
BSV::Script::Opcodes.OP_3DUP,Constant,BSV/Script/Opcodes.md#constant-OP_3DUP
BSV::Script::Opcodes.OP_2OVER,Constant,BSV/Script/Opcodes.md#constant-OP_2OVER
BSV::Script::Opcodes.OP_2ROT,Constant,BSV/Script/Opcodes.md#constant-OP_2ROT
BSV::Script::Opcodes.OP_2SWAP,Constant,BSV/Script/Opcodes.md#constant-OP_2SWAP
BSV::Script::Opcodes.OP_IFDUP,Constant,BSV/Script/Opcodes.md#constant-OP_IFDUP
BSV::Script::Opcodes.OP_DEPTH,Constant,BSV/Script/Opcodes.md#constant-OP_DEPTH
BSV::Script::Opcodes.OP_DROP,Constant,BSV/Script/Opcodes.md#constant-OP_DROP
BSV::Script::Opcodes.OP_DUP,Constant,BSV/Script/Opcodes.md#constant-OP_DUP
BSV::Script::Opcodes.OP_NIP,Constant,BSV/Script/Opcodes.md#constant-OP_NIP
BSV::Script::Opcodes.OP_OVER,Constant,BSV/Script/Opcodes.md#constant-OP_OVER
BSV::Script::Opcodes.OP_PICK,Constant,BSV/Script/Opcodes.md#constant-OP_PICK
BSV::Script::Opcodes.OP_ROLL,Constant,BSV/Script/Opcodes.md#constant-OP_ROLL
BSV::Script::Opcodes.OP_ROT,Constant,BSV/Script/Opcodes.md#constant-OP_ROT
BSV::Script::Opcodes.OP_SWAP,Constant,BSV/Script/Opcodes.md#constant-OP_SWAP
BSV::Script::Opcodes.OP_TUCK,Constant,BSV/Script/Opcodes.md#constant-OP_TUCK
BSV::Script::Opcodes.OP_CAT,Constant,BSV/Script/Opcodes.md#constant-OP_CAT
BSV::Script::Opcodes.OP_SPLIT,Constant,BSV/Script/Opcodes.md#constant-OP_SPLIT
BSV::Script::Opcodes.OP_NUM2BIN,Constant,BSV/Script/Opcodes.md#constant-OP_NUM2BIN
BSV::Script::Opcodes.OP_BIN2NUM,Constant,BSV/Script/Opcodes.md#constant-OP_BIN2NUM
BSV::Script::Opcodes.OP_SIZE,Constant,BSV/Script/Opcodes.md#constant-OP_SIZE
BSV::Script::Opcodes.OP_INVERT,Constant,BSV/Script/Opcodes.md#constant-OP_INVERT
BSV::Script::Opcodes.OP_AND,Constant,BSV/Script/Opcodes.md#constant-OP_AND
BSV::Script::Opcodes.OP_OR,Constant,BSV/Script/Opcodes.md#constant-OP_OR
BSV::Script::Opcodes.OP_XOR,Constant,BSV/Script/Opcodes.md#constant-OP_XOR
BSV::Script::Opcodes.OP_EQUAL,Constant,BSV/Script/Opcodes.md#constant-OP_EQUAL
BSV::Script::Opcodes.OP_EQUALVERIFY,Constant,BSV/Script/Opcodes.md#constant-OP_EQUALVERIFY
BSV::Script::Opcodes.OP_RESERVED1,Constant,BSV/Script/Opcodes.md#constant-OP_RESERVED1
BSV::Script::Opcodes.OP_RESERVED2,Constant,BSV/Script/Opcodes.md#constant-OP_RESERVED2
BSV::Script::Opcodes.OP_1ADD,Constant,BSV/Script/Opcodes.md#constant-OP_1ADD
BSV::Script::Opcodes.OP_1SUB,Constant,BSV/Script/Opcodes.md#constant-OP_1SUB
BSV::Script::Opcodes.OP_2MUL,Constant,BSV/Script/Opcodes.md#constant-OP_2MUL
BSV::Script::Opcodes.OP_2DIV,Constant,BSV/Script/Opcodes.md#constant-OP_2DIV
BSV::Script::Opcodes.OP_NEGATE,Constant,BSV/Script/Opcodes.md#constant-OP_NEGATE
BSV::Script::Opcodes.OP_ABS,Constant,BSV/Script/Opcodes.md#constant-OP_ABS
BSV::Script::Opcodes.OP_NOT,Constant,BSV/Script/Opcodes.md#constant-OP_NOT
BSV::Script::Opcodes.OP_0NOTEQUAL,Constant,BSV/Script/Opcodes.md#constant-OP_0NOTEQUAL
BSV::Script::Opcodes.OP_ADD,Constant,BSV/Script/Opcodes.md#constant-OP_ADD
BSV::Script::Opcodes.OP_SUB,Constant,BSV/Script/Opcodes.md#constant-OP_SUB
BSV::Script::Opcodes.OP_MUL,Constant,BSV/Script/Opcodes.md#constant-OP_MUL
BSV::Script::Opcodes.OP_DIV,Constant,BSV/Script/Opcodes.md#constant-OP_DIV
BSV::Script::Opcodes.OP_MOD,Constant,BSV/Script/Opcodes.md#constant-OP_MOD
BSV::Script::Opcodes.OP_LSHIFT,Constant,BSV/Script/Opcodes.md#constant-OP_LSHIFT
BSV::Script::Opcodes.OP_RSHIFT,Constant,BSV/Script/Opcodes.md#constant-OP_RSHIFT
BSV::Script::Opcodes.OP_BOOLAND,Constant,BSV/Script/Opcodes.md#constant-OP_BOOLAND
BSV::Script::Opcodes.OP_BOOLOR,Constant,BSV/Script/Opcodes.md#constant-OP_BOOLOR
BSV::Script::Opcodes.OP_NUMEQUAL,Constant,BSV/Script/Opcodes.md#constant-OP_NUMEQUAL
BSV::Script::Opcodes.OP_NUMEQUALVERIFY,Constant,BSV/Script/Opcodes.md#constant-OP_NUMEQUALVERIFY
BSV::Script::Opcodes.OP_NUMNOTEQUAL,Constant,BSV/Script/Opcodes.md#constant-OP_NUMNOTEQUAL
BSV::Script::Opcodes.OP_LESSTHAN,Constant,BSV/Script/Opcodes.md#constant-OP_LESSTHAN
BSV::Script::Opcodes.OP_GREATERTHAN,Constant,BSV/Script/Opcodes.md#constant-OP_GREATERTHAN
BSV::Script::Opcodes.OP_LESSTHANOREQUAL,Constant,BSV/Script/Opcodes.md#constant-OP_LESSTHANOREQUAL
BSV::Script::Opcodes.OP_GREATERTHANOREQUAL,Constant,BSV/Script/Opcodes.md#constant-OP_GREATERTHANOREQUAL
BSV::Script::Opcodes.OP_MIN,Constant,BSV/Script/Opcodes.md#constant-OP_MIN
BSV::Script::Opcodes.OP_MAX,Constant,BSV/Script/Opcodes.md#constant-OP_MAX
BSV::Script::Opcodes.OP_WITHIN,Constant,BSV/Script/Opcodes.md#constant-OP_WITHIN
BSV::Script::Opcodes.OP_RIPEMD160,Constant,BSV/Script/Opcodes.md#constant-OP_RIPEMD160
BSV::Script::Opcodes.OP_SHA1,Constant,BSV/Script/Opcodes.md#constant-OP_SHA1
BSV::Script::Opcodes.OP_SHA256,Constant,BSV/Script/Opcodes.md#constant-OP_SHA256
BSV::Script::Opcodes.OP_HASH160,Constant,BSV/Script/Opcodes.md#constant-OP_HASH160
BSV::Script::Opcodes.OP_HASH256,Constant,BSV/Script/Opcodes.md#constant-OP_HASH256
BSV::Script::Opcodes.OP_CODESEPARATOR,Constant,BSV/Script/Opcodes.md#constant-OP_CODESEPARATOR
BSV::Script::Opcodes.OP_CHECKSIG,Constant,BSV/Script/Opcodes.md#constant-OP_CHECKSIG
BSV::Script::Opcodes.OP_CHECKSIGVERIFY,Constant,BSV/Script/Opcodes.md#constant-OP_CHECKSIGVERIFY
BSV::Script::Opcodes.OP_CHECKMULTISIG,Constant,BSV/Script/Opcodes.md#constant-OP_CHECKMULTISIG
BSV::Script::Opcodes.OP_CHECKMULTISIGVERIFY,Constant,BSV/Script/Opcodes.md#constant-OP_CHECKMULTISIGVERIFY
BSV::Script::Opcodes.OP_NOP1,Constant,BSV/Script/Opcodes.md#constant-OP_NOP1
BSV::Script::Opcodes.OP_CHECKLOCKTIMEVERIFY,Constant,BSV/Script/Opcodes.md#constant-OP_CHECKLOCKTIMEVERIFY
BSV::Script::Opcodes.OP_CHECKSEQUENCEVERIFY,Constant,BSV/Script/Opcodes.md#constant-OP_CHECKSEQUENCEVERIFY
BSV::Script::Opcodes.OP_SUBSTR,Constant,BSV/Script/Opcodes.md#constant-OP_SUBSTR
BSV::Script::Opcodes.OP_LEFT,Constant,BSV/Script/Opcodes.md#constant-OP_LEFT
BSV::Script::Opcodes.OP_RIGHT,Constant,BSV/Script/Opcodes.md#constant-OP_RIGHT
BSV::Script::Opcodes.OP_LSHIFTNUM,Constant,BSV/Script/Opcodes.md#constant-OP_LSHIFTNUM
BSV::Script::Opcodes.OP_RSHIFTNUM,Constant,BSV/Script/Opcodes.md#constant-OP_RSHIFTNUM
BSV::Script::Opcodes.OP_NOP4,Constant,BSV/Script/Opcodes.md#constant-OP_NOP4
BSV::Script::Opcodes.OP_NOP5,Constant,BSV/Script/Opcodes.md#constant-OP_NOP5
BSV::Script::Opcodes.OP_NOP6,Constant,BSV/Script/Opcodes.md#constant-OP_NOP6
BSV::Script::Opcodes.OP_NOP7,Constant,BSV/Script/Opcodes.md#constant-OP_NOP7
BSV::Script::Opcodes.OP_NOP8,Constant,BSV/Script/Opcodes.md#constant-OP_NOP8
BSV::Script::Opcodes.OP_NOP9,Constant,BSV/Script/Opcodes.md#constant-OP_NOP9
BSV::Script::Opcodes.OP_NOP10,Constant,BSV/Script/Opcodes.md#constant-OP_NOP10
BSV::Script::Opcodes.OP_NOP11,Constant,BSV/Script/Opcodes.md#constant-OP_NOP11
BSV::Script::Opcodes.OP_NOP12,Constant,BSV/Script/Opcodes.md#constant-OP_NOP12
BSV::Script::Opcodes.OP_NOP13,Constant,BSV/Script/Opcodes.md#constant-OP_NOP13
BSV::Script::Opcodes.OP_NOP14,Constant,BSV/Script/Opcodes.md#constant-OP_NOP14
BSV::Script::Opcodes.OP_NOP15,Constant,BSV/Script/Opcodes.md#constant-OP_NOP15
BSV::Script::Opcodes.OP_NOP16,Constant,BSV/Script/Opcodes.md#constant-OP_NOP16
BSV::Script::Opcodes.OP_NOP17,Constant,BSV/Script/Opcodes.md#constant-OP_NOP17
BSV::Script::Opcodes.OP_NOP18,Constant,BSV/Script/Opcodes.md#constant-OP_NOP18
BSV::Script::Opcodes.OP_NOP19,Constant,BSV/Script/Opcodes.md#constant-OP_NOP19
BSV::Script::Opcodes.OP_NOP20,Constant,BSV/Script/Opcodes.md#constant-OP_NOP20
BSV::Script::Opcodes.OP_NOP21,Constant,BSV/Script/Opcodes.md#constant-OP_NOP21
BSV::Script::Opcodes.OP_NOP22,Constant,BSV/Script/Opcodes.md#constant-OP_NOP22
BSV::Script::Opcodes.OP_NOP23,Constant,BSV/Script/Opcodes.md#constant-OP_NOP23
BSV::Script::Opcodes.OP_NOP24,Constant,BSV/Script/Opcodes.md#constant-OP_NOP24
BSV::Script::Opcodes.OP_NOP25,Constant,BSV/Script/Opcodes.md#constant-OP_NOP25
BSV::Script::Opcodes.OP_NOP26,Constant,BSV/Script/Opcodes.md#constant-OP_NOP26
BSV::Script::Opcodes.OP_NOP27,Constant,BSV/Script/Opcodes.md#constant-OP_NOP27
BSV::Script::Opcodes.OP_NOP28,Constant,BSV/Script/Opcodes.md#constant-OP_NOP28
BSV::Script::Opcodes.OP_NOP29,Constant,BSV/Script/Opcodes.md#constant-OP_NOP29
BSV::Script::Opcodes.OP_NOP30,Constant,BSV/Script/Opcodes.md#constant-OP_NOP30
BSV::Script::Opcodes.OP_NOP31,Constant,BSV/Script/Opcodes.md#constant-OP_NOP31
BSV::Script::Opcodes.OP_NOP32,Constant,BSV/Script/Opcodes.md#constant-OP_NOP32
BSV::Script::Opcodes.OP_NOP33,Constant,BSV/Script/Opcodes.md#constant-OP_NOP33
BSV::Script::Opcodes.OP_NOP34,Constant,BSV/Script/Opcodes.md#constant-OP_NOP34
BSV::Script::Opcodes.OP_NOP35,Constant,BSV/Script/Opcodes.md#constant-OP_NOP35
BSV::Script::Opcodes.OP_NOP36,Constant,BSV/Script/Opcodes.md#constant-OP_NOP36
BSV::Script::Opcodes.OP_NOP37,Constant,BSV/Script/Opcodes.md#constant-OP_NOP37
BSV::Script::Opcodes.OP_NOP38,Constant,BSV/Script/Opcodes.md#constant-OP_NOP38
BSV::Script::Opcodes.OP_NOP39,Constant,BSV/Script/Opcodes.md#constant-OP_NOP39
BSV::Script::Opcodes.OP_NOP40,Constant,BSV/Script/Opcodes.md#constant-OP_NOP40
BSV::Script::Opcodes.OP_NOP41,Constant,BSV/Script/Opcodes.md#constant-OP_NOP41
BSV::Script::Opcodes.OP_NOP42,Constant,BSV/Script/Opcodes.md#constant-OP_NOP42
BSV::Script::Opcodes.OP_NOP43,Constant,BSV/Script/Opcodes.md#constant-OP_NOP43
BSV::Script::Opcodes.OP_NOP44,Constant,BSV/Script/Opcodes.md#constant-OP_NOP44
BSV::Script::Opcodes.OP_NOP45,Constant,BSV/Script/Opcodes.md#constant-OP_NOP45
BSV::Script::Opcodes.OP_NOP46,Constant,BSV/Script/Opcodes.md#constant-OP_NOP46
BSV::Script::Opcodes.OP_NOP47,Constant,BSV/Script/Opcodes.md#constant-OP_NOP47
BSV::Script::Opcodes.OP_NOP48,Constant,BSV/Script/Opcodes.md#constant-OP_NOP48
BSV::Script::Opcodes.OP_NOP49,Constant,BSV/Script/Opcodes.md#constant-OP_NOP49
BSV::Script::Opcodes.OP_NOP50,Constant,BSV/Script/Opcodes.md#constant-OP_NOP50
BSV::Script::Opcodes.OP_NOP51,Constant,BSV/Script/Opcodes.md#constant-OP_NOP51
BSV::Script::Opcodes.OP_NOP52,Constant,BSV/Script/Opcodes.md#constant-OP_NOP52
BSV::Script::Opcodes.OP_NOP53,Constant,BSV/Script/Opcodes.md#constant-OP_NOP53
BSV::Script::Opcodes.OP_NOP54,Constant,BSV/Script/Opcodes.md#constant-OP_NOP54
BSV::Script::Opcodes.OP_NOP55,Constant,BSV/Script/Opcodes.md#constant-OP_NOP55
BSV::Script::Opcodes.OP_NOP56,Constant,BSV/Script/Opcodes.md#constant-OP_NOP56
BSV::Script::Opcodes.OP_NOP57,Constant,BSV/Script/Opcodes.md#constant-OP_NOP57
BSV::Script::Opcodes.OP_NOP58,Constant,BSV/Script/Opcodes.md#constant-OP_NOP58
BSV::Script::Opcodes.OP_NOP59,Constant,BSV/Script/Opcodes.md#constant-OP_NOP59
BSV::Script::Opcodes.OP_NOP60,Constant,BSV/Script/Opcodes.md#constant-OP_NOP60
BSV::Script::Opcodes.OP_NOP61,Constant,BSV/Script/Opcodes.md#constant-OP_NOP61
BSV::Script::Opcodes.OP_NOP62,Constant,BSV/Script/Opcodes.md#constant-OP_NOP62
BSV::Script::Opcodes.OP_NOP63,Constant,BSV/Script/Opcodes.md#constant-OP_NOP63
BSV::Script::Opcodes.OP_NOP64,Constant,BSV/Script/Opcodes.md#constant-OP_NOP64
BSV::Script::Opcodes.OP_NOP65,Constant,BSV/Script/Opcodes.md#constant-OP_NOP65
BSV::Script::Opcodes.OP_NOP66,Constant,BSV/Script/Opcodes.md#constant-OP_NOP66
BSV::Script::Opcodes.OP_NOP67,Constant,BSV/Script/Opcodes.md#constant-OP_NOP67
